Type;Medium;Title;Year;Director;Seen;Franchise;Franchise Complete;Length;Genre;Cast;Crew
Movie;BluRay;1917;2019;Sam Mendes;YES;NO;;119;;;
Movie;DVD;A Beautiful Mind;2001;Ron Howard;NO;NO;;130;;;
Movie;BluRay;A Girl Walks Home Alone At Night;2014;Ana Lily Amirpour;NO;NO;;100;;;
Movie;DVD;A Quiet Place;2018;John Krasinski;YES;YES;NO;87;;;
Movie;DVD;A Simple Favor;2018;Paul Feig;YES;NO;;112;;;
Movie;BluRay;Aladdin;2019;Guy Ritchie;YES;NO;;128;;;
Movie;DVD;Aladin;;;NO;;;50;;;
Series;DVD;Alf [Season 1];1988;Tom Patchett, Paul Fusco;NO;YES;NO;30;;;
Movie;DVD;Allegiant;2016;Robert Schwentke;YES;YES;YES;115;;;
Movie;DVD;Angels & Demons;2009;Ron Howard;YES;YES;NO;138;;;
Movie;BluRay;Annihilation;2018;Alex Garland;YES;NO;;115;;;
Movie;DVD;Aquaman;2018;James Wan;YES;NO;;137;;;
Movie;DVD;Arrival;2016;Denis Villeneuve;YES;NO;;112;;;
Movie;BluRay;Asterix der Gallier;1967;Ray Goossens;YES;YES;NO;65;;;
Movie;DVD;At Eternity's Gate;2018;Julian Schnabel;NO;NO;;111;;;
Movie;BluRay;Avatar;2009;James Cameron;YES;NO;;162;;;
Movie;DVD;Bad Times at the El Royale;2018;Drew Goddard;NO;NO;;136;;;
Movie;DVD;Batman Begins;2005;Christopher Nolan;YES;YES;YES;134;;;
Movie;BluRay;Batman v Superman: Dawn of Justice;2016;Zack Snyder;NO;NO;;151;;;
Movie;DVD;Battle for the Planet of the Apes;1973;J. Lee Thompson;YES;YES;YES;83;;;
Movie;BluRay;Battle of the Sexes;2017;Jonathan Dayton, Valerie Faris;YES;NO;;122;;;
Movie;DVD;Baywatch;2017;Seth Gordon;YES;NO;;112;;;
Movie;DVD;Bean;1997;Mel Smith;YES;NO;;85;;;
Movie;BluRay;Beauty and the Beast;2017;Bill Condon;YES;NO;;129;;;
Movie;DVD;Bee Movie;2007;Simon J. Smith, Steve Hickner;YES;NO;;87;;;
